travelCode,User_ID,Departure,Arrival,Check-in,Hotel,Stars,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Price per Night,Amenities,Days of Stay,Total Cost,Check-Out,Hotel_ID,Images
0,0,Coimbatore,Visakhapatnam,26-09-2019,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,3,0,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",5,74260,01-10-2019,VISA2,https://tse1.mm.bing.net/th?q=Fairfield+by+Marriott+Visakhapatnam+Visakhapatnam
2,0,Ranchi,Shillong,10-10-2019,Serenity by the Lake,4,Deluxe,7240,1,2,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",1,7240,11-10-2019,SHIL1,https://tse1.mm.bing.net/th?q=Serenity+by+the+Lake+Shillong
7,0,Dabolim,Ranchi,14-11-2019,Hotel The Park Retreat,3,Deluxe,5019,3,2,3,15057,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",6,90342,20-11-2019,RANC5,https://tse1.mm.bing.net/th?q=Hotel+The+Park+Retreat+Ranchi
11,0,Ahmedabad,Raigarh,12-12-2019,Hotel Shubham,2,Deluxe,2968,2,0,1,2968,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,11872,16-12-2019,RAIG4,https://tse1.mm.bing.net/th?q=Hotel+Shubham+Raigarh
13,0,Hyderabad,Kolkata,26-12-2019,Holiday Inn Kolkata Airport,4,Executive,6584,4,1,3,19752,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,118512,01-01-2020,KOLK4,https://tse1.mm.bing.net/th?q=Holiday+Inn+Kolkata+Airport+Kolkata
15,0,Khowai,Amritsar,09-01-2020,Holiday Inn Amritsar Ranjit Avenue,4,Suite,8494,3,2,3,25482,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",6,152892,15-01-2020,AMRI3,https://tse1.mm.bing.net/th?q=Holiday+Inn+Amritsar+Ranjit+Avenue  
22,0,Navi Mumbai,Pune,27-02-2020,The Westin Pune Koregaon Park,5,Executive,13946,1,0,1,13946,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",2,27892,29-02-2020,PUNE2,https://tse1.mm.bing.net/th?q=The+Westin+Pune+Koregaon+Park+Pune
29,0,Pune,Mumbai,16-04-2020,Residency Hotel Fort,3,Suite,6855,4,3,4,27420,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",2,54840,18-04-2020,MUMB9,https://tse1.mm.bing.net/th?q=Residency+Hotel+Fort+Mumbai
32,0,Khowai,Mumbai,07-05-2020,The Oberoi Mumbai,5,Executive,13477,3,2,3,40431,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",5,202155,12-05-2020,MUMB2,https://tse1.mm.bing.net/th?q=The+Oberoi+Mumbai+Mumbai
33,0,Navi Mumbai,Raipur,14-05-2020,Hotel VW Canyon,4,Deluxe,7574,1,0,1,7574,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",4,30296,18-05-2020,RAIP10,https://tse1.mm.bing.net/th?q=Hotel+VW+Canyon+Raipur
34,0,Vijayawada,Raigarh,21-05-2020,Hotel Shyam,2,Executive,3084,2,0,1,3084,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",3,9252,24-05-2020,RAIG7,https://tse1.mm.bing.net/th?q=Hotel+Shyam+Raigarh
38,0,Ahmedabad,Srinagar,18-06-2020,"Radisson Collection Hotel & Spa, Riverfront Srinagar",5,Deluxe,10233,3,2,3,30699,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service']",1,30699,19-06-2020,SRIN1,https://tse1.mm.bing.net/th?q=Radisson+Collection+Hotel+Spa+Riverfront+Srinagar+Srinagar
39,0,Gwalior,Delhi NCR,25-06-2020,Radisson Blu Plaza Delhi Airport,5,Deluxe,11211,3,1,2,22422,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",2,44844,27-06-2020,DELH1,https://tse1.mm.bing.net/th?q=Radisson+Blu+Plaza+Delhi+Airport
42,0,Bengaluru,Raipur,16-07-2020,Hotel Shamrock Greens,4,Deluxe,6983,2,2,2,13966,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,27932,18-07-2020,RAIP2,https://tse1.mm.bing.net/th?q=Hotel+Shamrock+Greens+Raipur
43,0,Hyderabad,Ludhiana,24-07-2020,Regenta Central Klassik,4,Executive,8186,3,2,3,24558,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,24558,25-07-2020,LUDH4,https://tse1.mm.bing.net/th?q=Regenta+Central+Klassik+Ludhiana
45,0,Guwahati,Raigarh,06-08-2020,Hotel Shubham,2,Suite,4047,3,1,2,8094,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,32376,10-08-2020,RAIG4,https://tse1.mm.bing.net/th?q=Hotel+Shubham+Raigarh
51,0,Hyderabad,Raipur,17-09-2020,Hotel Grand Imperia,3,Deluxe,4847,2,2,2,9694,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",2,19388,19-09-2020,RAIP9,https://tse1.mm.bing.net/th?q=Hotel+Grand+Imperia+Raipur
53,0,Bilaspur,Indore,01-10-2020,Hotel President,3,Deluxe,4840,1,1,1,4840,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,4840,02-10-2020,INDO10,https://tse1.mm.bing.net/th?q=Hotel+President+Indore
54,0,Raipur,Shillong,08-10-2020,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,1,0,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",2,14480,10-10-2020,SHIL1,https://tse1.mm.bing.net/th?q=Serenity+by+the+Lake+Shillong
55,0,Puducherry,Khowai,15-10-2020,Hotel Shankar,3,Deluxe,4343,4,1,3,13029,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",6,78174,21-10-2020,KHOW9,https://tse1.mm.bing.net/th?q=Hotel+Shankar+Khowai
57,0,Jamshedpur,Visakhapatnam,29-10-2020,Best Western Ramachandra,3,Suite,6866,2,2,2,13732,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",4,54928,02-11-2020,VISA4,https://tse1.mm.bing.net/th?q=Best+Western+Ramachandra+Visakhapatnam
60,0,Nashik,Indore,19-11-2020,Hotel Winway,3,Suite,4638,3,3,3,13914,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",4,55656,23-11-2020,INDO9,https://tse1.mm.bing.net/th?q=Hotel+Winway+Indore
65,0,Mopa,Gwalior,24-12-2020,The Central Park,3,Executive,4570,1,0,1,4570,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",5,22850,29-12-2020,GWAL7,https://tse1.mm.bing.net/th?q=The+Central+Park+Gwalior
73,0,Prayagraj,Ahmedabad,18-02-2021,The Leela Gandhinagar,5,Deluxe,9449,2,1,2,18898,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,75592,22-02-2021,AHME4,https://tse1.mm.bing.net/th?q=The+Leela+Gandhinagar+Ahmedabad  
81,0,Khowai,Prayagraj,15-04-2021,Hotel Ravisha Continental,3,Deluxe,4129,2,0,1,4129,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",4,16516,19-04-2021,PRAY8,https://tse1.mm.bing.net/th?q=Hotel+Ravisha+Continental+Prayagraj
86,0,Prayagraj,Dhubri,21-05-2021,Galaxy Hotel,2,Deluxe,2451,3,3,3,7353,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,51471,28-05-2021,DHUB5,https://tse1.mm.bing.net/th?q=Galaxy+Hotel+Dhubri
87,0,Vadodara,Ahmedabad,27-05-2021,Hyatt Regency Ahmedabad,5,Executive,14086,1,2,1,14086,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",5,70430,01-06-2021,AHME1,https://tse1.mm.bing.net/th?q=Hyatt+Regency+Ahmedabad  
