travelCode,User_ID,Departure,Arrival,Check-in,Hotel,Stars,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Price per Night,Amenities,Days of Stay,Total Cost,Check-Out,Hotel_ID
0,0,Coimbatore,Visakhapatnam,2019-09-26,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,3,0,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",5,74260,2019-10-01,VISA2
1238,11,Jaipur,Visakhapatnam,2020-12-03,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,3,3,3,22278,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",6,133668,2020-12-09,VISA2
6235,62,Indore,Visakhapatnam,2020-01-09,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,1,0,1,7426,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",3,22278,2020-01-12,VISA2
10846,109,Itanagar,Visakhapatnam,2019-09-26,Fairfield by Marriott Visakhapatnam,4,Executive,8776,4,3,4,35104,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",7,245728,2019-10-03,VISA2
13971,139,Srinagar,Visakhapatnam,2020-06-04,Fairfield by Marriott Visakhapatnam,4,Suite,10126,4,1,3,30378,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,151890,2020-06-09,VISA2
14458,145,Tirupati,Visakhapatnam,2021-12-23,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,2,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",4,35104,2021-12-27,VISA2
16466,163,Dabolim,Visakhapatnam,2019-12-05,Fairfield by Marriott Visakhapatnam,4,Suite,10126,3,2,3,30378,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,91134,2019-12-08,VISA2
16883,168,Khowai,Visakhapatnam,2022-07-28,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,1,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",5,43880,2022-08-02,VISA2
19778,193,Gwalior,Visakhapatnam,2020-12-31,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,2,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",4,70208,2021-01-04,VISA2
22373,219,Ranchi,Visakhapatnam,2021-07-29,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,2,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,52656,2021-08-01,VISA2
23143,227,Diu,Visakhapatnam,2020-02-28,Fairfield by Marriott Visakhapatnam,4,Executive,8776,3,0,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,87760,2020-03-04,VISA2
23752,232,Chennai,Visakhapatnam,2020-02-06,Fairfield by Marriott Visakhapatnam,4,Suite,10126,1,1,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",3,30378,2020-02-09,VISA2
25633,247,Kota,Visakhapatnam,2021-02-04,Fairfield by Marriott Visakhapatnam,4,Suite,10126,2,0,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",7,70882,2021-02-11,VISA2
29739,284,Puducherry,Visakhapatnam,2021-03-04,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,0,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",7,61432,2021-03-11,VISA2
31523,301,Bilaspur,Visakhapatnam,2021-10-21,Fairfield by Marriott Visakhapatnam,4,Suite,10126,1,2,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",2,20252,2021-10-23,VISA2
32429,312,Nashik,Visakhapatnam,2020-09-03,Fairfield by Marriott Visakhapatnam,4,Suite,10126,2,2,2,20252,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,121512,2020-09-09,VISA2
34063,326,Ranchi,Visakhapatnam,2021-08-05,Fairfield by Marriott Visakhapatnam,4,Suite,10126,3,0,2,20252,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",3,60756,2021-08-08,VISA2
