TravelCode,UserID,City,Hotel,Rating,BedroomType,PricePerNight,Adults,Children,TotalRooms,TotalPrice,Amenities,StayingDays,TotalCost,CheckOut,CheckIn,Images
0,0,Visakhapatnam,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,3,0,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",5,74260,01-10-2019,26-09-2019,https://tse1.mm.bing.net/th?q=Fairfield+by+Marriott+Visakhapatnam+Visakhapatnam
2,0,Shillong,Ri Kynjai  Serenity by the Lake,4,Deluxe,7240,1,2,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",1,7240,11-10-2019,10-10-2019,
7,0,Ranchi,Hotel The Park Retreat,3,Deluxe,5019,3,2,3,15057,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",6,90342,20-11-2019,14-11-2019,https://tse1.mm.bing.net/th?q=Hotel+The+Park+Retreat+Ranchi
11,0,Raigarh,Hotel Shubham,2,Deluxe,2968,2,0,1,2968,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,11872,16-12-2019,12-12-2019,https://tse1.mm.bing.net/th?q=Hotel+Shubham+Raigarh
13,0,Kolkata,Holiday Inn Kolkata Airport,4,Executive,6584,4,1,3,19752,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,118512,01-01-2020,26-12-2019,https://tse1.mm.bing.net/th?q=Holiday+Inn+Kolkata+Airport+Kolkata
15,0,Amritsar,Holiday Inn Amritsar Ranjit Avenue,4,Suite,8494,3,2,3,25482,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",6,152892,15-01-2020,09-01-2020,https://tse1.mm.bing.net/th?q=Holiday+Inn+Amritsar+Ranjit+Avenue  
22,0,Pune,The Westin Pune Koregaon Park,5,Executive,13946,1,0,1,13946,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",2,27892,29-02-2020,27-02-2020,https://tse1.mm.bing.net/th?q=The+Westin+Pune+Koregaon+Park+Pune
29,0,Mumbai,Residency Hotel Fort,3,Suite,6855,4,3,4,27420,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",2,54840,18-04-2020,16-04-2020,https://tse1.mm.bing.net/th?q=Residency+Hotel+Fort+Mumbai
32,0,Mumbai,The Oberoi Mumbai,5,Executive,13477,3,2,3,40431,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",5,202155,12-05-2020,07-05-2020,https://tse1.mm.bing.net/th?q=The+Oberoi+Mumbai+Mumbai
33,0,Raipur,Hotel VW Canyon,4,Deluxe,7574,1,0,1,7574,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",4,30296,18-05-2020,14-05-2020,https://tse1.mm.bing.net/th?q=Hotel+VW+Canyon+Raipur
